"상품명","URL","검색어","가중치"
"75100","https://chatgift.co.kr/product/content.asp?guid=75100","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #우산","70"
"75088","https://chatgift.co.kr/product/content.asp?guid=75088","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #우산","75"
"75040","https://chatgift.co.kr/product/content.asp?guid=75040","#답례 #선물 #웰컴키트 #신입 #여성 #여직원 #사무실 #야외 #겨울 #판촉 #우산","65"
"75039","https://chatgift.co.kr/product/content.asp?guid=75039","#답례 #선물 #웰컴키트 #신입 #여성 #여직원 #사무실 #야외 #겨울 #판촉 #우산","60"
"74835","https://chatgift.co.kr/product/content.asp?guid=74835","#답례 #선물 #모임 #보편적 #아무나 #여성 #우산","72"
"74834","https://chatgift.co.kr/product/content.asp?guid=74834","#답례 #선물 #모임 #상품 #보편적 #아무나 #사무 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #우산","68"
"74742","https://chatgift.co.kr/product/content.asp?guid=74742","#답례 #선물 #모임 #보편적 #아무나 #판촉 #무지","80"
"74716","https://chatgift.co.kr/product/content.asp?guid=74716","#답례 #선물 #모임 #보편적 #아무나 #판촉 #우산","82"
"73467","https://chatgift.co.kr/product/content.asp?guid=73467","#답례 #선물 #모임 #보편적 #아무나 #판촉 #우산","84"
"67196","https://chatgift.co.kr/product/content.asp?guid=67196","#답례 #선물 #모임 #하객 #축하 #환갑 #고희 #결혼 #타올","79"
"67194","https://chatgift.co.kr/product/content.asp?guid=67194","#답례 #선물 #모임 #운동 #대회 #골프 #야유회 #스포츠 #타올","77"
"67011","https://chatgift.co.kr/product/content.asp?guid=67011","#답례 #선물 #모임 #아이 #어린이 #우산","50"
"67010","https://chatgift.co.kr/product/content.asp?guid=67010","#답례 #선물 #모임 #아이 #어린이 #우산","68"
"76134","https://chatgift.co.kr/product/content.asp?guid=76134","#선물 #상품 #친환경 #선물 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이","75"
"76123","https://chatgift.co.kr/product/content.asp?guid=76123","#선물 #상품 #친환경 #선물 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이","73"
"76113","https://chatgift.co.kr/product/content.asp?guid=76113","#칫솔 #세면도구 #워크샵 #키트 #임직원 #직원 #사원 #워크샵 #여행 #캠핑 #행사 #홍보 #판촉 #칫솔","68"
"76112","https://chatgift.co.kr/product/content.asp?guid=76112","#기념 #여행 #여직원 #여성 #아이 #사무실 #야외 #휴대 #홍보 #극세사","67"
"76110","https://chatgift.co.kr/product/content.asp?guid=76110","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #수건","72"
"75878","https://chatgift.co.kr/product/content.asp?guid=75878","#답례 #대량 #저렴 #여성 #친환경 #선물 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이","60"
"75877","https://chatgift.co.kr/product/content.asp?guid=75877","#답례 #대량 #저렴 #여성 #친환경 #선물 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이","62"
"75341","https://chatgift.co.kr/product/content.asp?guid=75341","#칫솔 #세면도구 #워크샵 #키트 #여행 #나들이 #야유회 #워크샵 #캠핑 #칫솔","51"
"75340","https://chatgift.co.kr/product/content.asp?guid=75340","#칫솔 #세면도구 #워크샵 #키트 #여행 #나들이 #야유회 #워크샵 #캠핑 #칫솔","52"
"75334","https://chatgift.co.kr/product/content.asp?guid=75334","#칫솔 #세면도구 #워크샵 #키트 #여행 #나들이 #야유회 #워크샵 #캠핑 #칫솔","51"
"75333","https://chatgift.co.kr/product/content.asp?guid=75333","#칫솔 #세면도구 #워크샵 #키트 #여행 #나들이 #야유회 #워크샵 #캠핑 #칫솔","50"
"68345","https://chatgift.co.kr/product/content.asp?guid=68345","#칫솔 #세면도구 #워크샵 #키트 #여행 #나들이 #야유회 #워크샵 #캠핑 #칫솔","55"
"68344","https://chatgift.co.kr/product/content.asp?guid=68344","#칫솔 #세면도구 #워크샵 #키트 #여행 #나들이 #야유회 #워크샵 #캠핑 #칫솔","54"
"75675","https://chatgift.co.kr/product/content.asp?guid=75675","#선물 #모임 #캠핑 #소풍 #등산 #골프 #보온보냉백","48"
"75584","https://chatgift.co.kr/product/content.asp?guid=75584","#친환경 #선물 #키트 #사무 #직원 #카페 #등산 #골프 #여행 #캠핑 #소풍 #텀블러","49"
"75229","https://chatgift.co.kr/product/content.asp?guid=75229","#기념 #머그 #보편적 #아무나 #사무 #판촉 #하객 #도자기","57"
"75228","https://chatgift.co.kr/product/content.asp?guid=75228","#기념 #머그 #보편적 #아무나 #사무 #판촉 #하객 #도자기","41"
"74106","https://chatgift.co.kr/product/content.asp?guid=74106","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #우산","60"
"73438","https://chatgift.co.kr/product/content.asp?guid=73438","#친환경 #선물 #사무 #카페 #나들이 #등산 #캠핑 #텀블러","65"
"70809","https://chatgift.co.kr/product/content.asp?guid=70809","#선물 #가정 #겨울 #방한 #핫팩","53"
"69294","https://chatgift.co.kr/product/content.asp?guid=69294","#답례 #선물 #보틀","66"
"69293","https://chatgift.co.kr/product/content.asp?guid=69293","#답례 #선물 #보틀","67"
"61128","https://chatgift.co.kr/product/content.asp?guid=61128","#답례 #선물 #모임 #하객 #축하 #환갑 #고희 #결혼 #수건","68"
"61127","https://chatgift.co.kr/product/content.asp?guid=61127","#답례 #선물 #모임 #수건","71"
"39968","https://chatgift.co.kr/product/content.asp?guid=39968","#친환경 #보온병","50"
"39929","https://chatgift.co.kr/product/content.asp?guid=39929","#대량 #영업 #판촉 #볼펜","47"
"39926","https://chatgift.co.kr/product/content.asp?guid=39926","#답례 #선물 #모임 #운동 #대회 #골프 #야유회 #스포츠 #수건","46"
"39923","https://chatgift.co.kr/product/content.asp?guid=39923","#답례 #선물 #모임 #상품 #보편적 #아무나 #사무 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #수건","45"
"75531","https://chatgift.co.kr/product/content.asp?guid=75531","#기념 #모임 #키트 #페트","60"
"75530","https://chatgift.co.kr/product/content.asp?guid=75530","#기념 #모임 #키트 #페트","62"
"75489","https://chatgift.co.kr/product/content.asp?guid=75489","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #무지","75"
"75488","https://chatgift.co.kr/product/content.asp?guid=75488","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #무지","80"
"75487","https://chatgift.co.kr/product/content.asp?guid=75487","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #무지","70"
"75482","https://chatgift.co.kr/product/content.asp?guid=75482","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","53"
"72963","https://chatgift.co.kr/product/content.asp?guid=72963","#대량 #판촉 #분양 #홍보 #물티슈","37"
"71165","https://chatgift.co.kr/product/content.asp?guid=71165","#대량 #겨울 #핫팩","41"
"76165","https://chatgift.co.kr/product/content.asp?guid=76165","#달력 #신년 #새해 #대량 #세무 #회계 #경리 #시무식 #연초 #홍보 #판촉 #영업 #탁상","55"
"76164","https://chatgift.co.kr/product/content.asp?guid=76164","#달력 #신년 #새해 #대량 #사무 #임원 #직원 #시무식 #연초 #홍보 #판촉 #영업 #탁상","57"
"76163","https://chatgift.co.kr/product/content.asp?guid=76163","#달력 #신년 #새해 #대량 #사무 #임원 #직원 #시무식 #연초 #홍보 #판촉 #영업 #탁상","59"
"76155","https://chatgift.co.kr/product/content.asp?guid=76155","#달력 #신년 #새해 #대량 #사무 #직원 #시무식 #연초 #홍보 #판촉 #영업 #탁상","54"
"76154","https://chatgift.co.kr/product/content.asp?guid=76154","#달력 #신년 #새해 #대량 #사무 #직원 #시무식 #연초 #홍보 #판촉 #영업 #탁상","61"
"76153","https://chatgift.co.kr/product/content.asp?guid=76153","#달력 #신년 #새해 #대량 #사무 #가정 #시무식 #연초 #홍보 #판촉 #영업 #벽걸이","65"
"76152","https://chatgift.co.kr/product/content.asp?guid=76152","#달력 #신년 #새해 #대량 #사무 #가정 #시무식 #연초 #홍보 #판촉 #영업 #벽걸이","63"
"76147","https://chatgift.co.kr/product/content.asp?guid=76147","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","50"
"76145","https://chatgift.co.kr/product/content.asp?guid=76145","#25절 #신년 #새해 #다이어리 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","77"
"76144","https://chatgift.co.kr/product/content.asp?guid=76144","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","72"
"76143","https://chatgift.co.kr/product/content.asp?guid=76143","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","60"
"76140","https://chatgift.co.kr/product/content.asp?guid=76140","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","65"
"76139","https://chatgift.co.kr/product/content.asp?guid=76139","#25절 #신년 #새해 #다이어리 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","75"
"76138","https://chatgift.co.kr/product/content.asp?guid=76138","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","70"
"76137","https://chatgift.co.kr/product/content.asp?guid=76137","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","69"
"76132","https://chatgift.co.kr/product/content.asp?guid=76132","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","70"
"76131","https://chatgift.co.kr/product/content.asp?guid=76131","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","75"
"76116","https://chatgift.co.kr/product/content.asp?guid=76116","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","65"
"76114","https://chatgift.co.kr/product/content.asp?guid=76114","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","80"
"76097","https://chatgift.co.kr/product/content.asp?guid=76097","#모임 #기념 #답례 #여성 #가정 #주부 #세미나 #행사 #판촉 #홍보 #디퓨저","70"
"76096","https://chatgift.co.kr/product/content.asp?guid=76096","#모임 #기념 #답례 #여성 #가정 #주부 #세미나 #행사 #판촉 #홍보 #디퓨저","75"
"76087","https://chatgift.co.kr/product/content.asp?guid=76087","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #무지","80"
"76076","https://chatgift.co.kr/product/content.asp?guid=76076","#선물 #사무 #가정 #행사 #나들이 #판촉 #담요","50"
"76068","https://chatgift.co.kr/product/content.asp?guid=76068","#선물 #사무 #가정 #행사 #나들이 #판촉 #보온보냉백","45"
"76067","https://chatgift.co.kr/product/content.asp?guid=76067","#기념 #시상 #사무 #영업 #세미나 #컨퍼런스 #임원 #VIP #거치대","64"
"76065","https://chatgift.co.kr/product/content.asp?guid=76065","#기념 #상품 #모임 #회원 #멤버 #동호회 #골프 #스포츠 #대회 #참석 #참가 #골프공","70"
"76064","https://chatgift.co.kr/product/content.asp?guid=76064","#기념 #상품 #모임 #회원 #멤버 #동호회 #골프 #스포츠 #대회 #참석 #참가 #골프공","65"
"76052","https://chatgift.co.kr/product/content.asp?guid=76052","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","71"
"76050","https://chatgift.co.kr/product/content.asp?guid=76050","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","70"
"76048","https://chatgift.co.kr/product/content.asp?guid=76048","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","77"
"76046","https://chatgift.co.kr/product/content.asp?guid=76046","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","72"
"76044","https://chatgift.co.kr/product/content.asp?guid=76044","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","77"
"76041","https://chatgift.co.kr/product/content.asp?guid=76041","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","75"
"76037","https://chatgift.co.kr/product/content.asp?guid=76037","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","76"
"76030","https://chatgift.co.kr/product/content.asp?guid=76030","#담요 #선물 #답례 #여성 #직장 #겨울 #방한 #담요","46"
"76029","https://chatgift.co.kr/product/content.asp?guid=76029","#담요 #선물 #답례 #여성 #직장 #겨울 #방한 #담요","47"
"75998","https://chatgift.co.kr/product/content.asp?guid=75998","#선물 #사무 #세미나 #충전","62"
"75994","https://chatgift.co.kr/product/content.asp?guid=75994","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","66"
"75934","https://chatgift.co.kr/product/content.asp?guid=75934","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #우산","68"
"75925","https://chatgift.co.kr/product/content.asp?guid=75925","#친환경 #선물 #키트 #사무 #직원 #카페 #등산 #골프 #여행 #캠핑 #소풍 #텀블러","71"
"75924","https://chatgift.co.kr/product/content.asp?guid=75924","#친환경 #선물 #키트 #사무 #직원 #카페 #등산 #골프 #여행 #캠핑 #소풍 #텀블러","73"
"75860","https://chatgift.co.kr/product/content.asp?guid=75860","#선물 #피부 #여성 #등산 #골프 #여행 #캠핑 #소풍 #선크림","49"
"75858","https://chatgift.co.kr/product/content.asp?guid=75858","#선물 #피부 #여성 #겨울 #보습 #캠핑 #소풍 #핸드크림","51"
"75764","https://chatgift.co.kr/product/content.asp?guid=75764","#선물 #피부 #여성 #골프 #야유회 #대회 #스포츠 #야외 #소풍 #썬패치","54"
"75737","https://chatgift.co.kr/product/content.asp?guid=75737","#기념 #모임 #상품 #시상 #사무 #직원 #휴대 #워크샵 #세미나 #컨퍼런스 #여행 #배터리","67"
"75697","https://chatgift.co.kr/product/content.asp?guid=75697","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","55"
"75692","https://chatgift.co.kr/product/content.asp?guid=75692","#선물 #대량 #키트 #학생 #사무 #직원 #졸업 #세미나 #컨퍼런스 #행사 #발표 #충전","61"
"75690","https://chatgift.co.kr/product/content.asp?guid=75690","#차량 #행사 #시상 #고급 #세미나 #컨퍼런스 #공기청정기","57"
"75682","https://chatgift.co.kr/product/content.asp?guid=75682","#선물 #시상 #고급 #가정 #청소 #청소기","55"
"75669","https://chatgift.co.kr/product/content.asp?guid=75669","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #에코백","51"
"75648","https://chatgift.co.kr/product/content.asp?guid=75648","#칫솔 #세면도구 #워크샵 #키트 #임직원 #직원 #사원 #워크샵 #여행 #캠핑 #행사 #홍보 #판촉 #칫솔","46"
"75635","https://chatgift.co.kr/product/content.asp?guid=75635","#기념 #세미나 #컨퍼런스 #행사 #판촉 #홍보 #USB","44"
"75621","https://chatgift.co.kr/product/content.asp?guid=75621","#기념 #모임 #키트 #고급 #직원 #운동 #워크샵 #세미나 #컨퍼런스 #발표 #세미나 #컨퍼런스 #발표 #이어폰","65"
"75617","https://chatgift.co.kr/product/content.asp?guid=75617","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","60"
"75374","https://chatgift.co.kr/product/content.asp?guid=75374","#장바구니 #대량 #주부 #여성 #판촉 #홍보 #타포린","57"
"75260","https://chatgift.co.kr/product/content.asp?guid=75260","#답례 #모임 #여성 #사무 #야유회 #결혼 #분양 #홍보 #집들이 #에코백","65"
"75206","https://chatgift.co.kr/product/content.asp?guid=75206","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #수건","66"
"75176","https://chatgift.co.kr/product/content.asp?guid=75176","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #수건","81"
